"","Insee","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1","01001",1,1,1,1,1,1,1,1,1,1
"2","01002",1,1,1,1,2,2,1,1,2,2
"3","01004",2,1,2,1,2,2,1,1,3,3
"4","01005",2,1,1,2,3,1,2,2,4,4
"5","01006",2,1,1,1,3,2,1,3,3,3
"6","01007",2,1,1,1,3,1,2,2,4,2
"7","01008",2,1,1,1,2,1,1,1,2,2
"8","01009",1,2,3,3,4,3,3,4,5,5
"9","01010",2,3,4,2,3,4,2,5,4,6
"10","01011",2,1,1,2,3,1,2,2,4,6
"11","01012",1,2,2,4,2,2,3,1,3,7
"12","01013",2,3,4,2,5,5,2,6,6,8
"13","01014",1,2,3,4,4,3,3,1,1,9
"14","01015",1,2,2,4,4,3,3,1,2,10
"15","01016",2,1,1,1,3,1,2,2,4,4
"16","01017",2,3,4,2,5,4,2,5,7,8
"17","01019",2,1,1,1,3,1,1,1,1,3
"18","01021",1,1,1,1,1,6,4,7,8,4
"19","01022",2,1,4,2,3,4,2,2,3,3
"20","01023",2,3,4,2,3,5,4,7,9,4
"21","01024",2,1,1,1,3,1,1,1,1,2
"22","01025",2,1,1,1,3,1,1,1,2,2
"23","01026",1,2,3,3,4,3,5,8,5,1
"24","01027",2,1,1,2,3,1,2,2,4,6
"25","01028",2,3,4,2,5,4,2,2,6,8
"26","01029",2,3,4,2,5,4,2,2,7,6
"27","01030",2,1,1,1,3,1,1,2,1,3
"28","01031",1,2,2,5,2,2,1,1,1,3
"29","01032",2,1,1,2,3,1,2,2,4,6
"30","01033",1,2,2,5,4,3,3,1,1,9
"31","01034",1,2,2,4,2,2,1,1,1,9
"32","01035",2,1,1,1,3,4,2,2,3,3
"33","01036",1,1,2,4,2,2,1,3,1,9
"34","01037",2,1,1,1,1,1,4,7,8,4
"35","01038",1,1,1,1,1,2,1,1,2,2
"36","01039",2,1,1,1,2,2,1,1,3,3
"37","01040",2,1,1,1,3,1,2,2,4,4
"38","01041",2,1,1,1,3,4,2,2,4,2
"39","01042",1,2,3,3,4,3,1,1,2,1
"40","01043",1,2,3,3,4,3,5,8,1,1
"41","01044",1,1,1,1,2,1,1,1,1,3
